lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.3039,0.3164,0.5883,1.0000,0.9355,-0.0329,-0.9995,0.6819,0.4167,0.2083
0.3051,0.3291,0.6589,1.0000,0.9364,-0.0336,-0.9994,0.6828,0.4167,0.2083
0.3064,0.3391,0.7536,1.0000,0.9370,-0.0342,-0.9994,0.6837,0.4167,0.2083
0.3078,0.3559,0.8425,1.0000,0.9374,-0.0348,-0.9994,0.6847,0.4167,0.2083
0.3094,0.3745,0.8387,1.0000,0.9375,-0.0353,-0.9994,0.6856,0.4167,0.2083
0.3114,0.3986,0.8386,1.0000,0.9374,-0.0357,-0.9994,0.6866,0.4167,0.2083
0.3138,0.4271,0.8383,1.0000,0.9370,-0.0361,-0.9993,0.6876,0.4167,0.2083
0.3138,0.4590,0.8379,1.0000,0.9364,-0.0365,-0.9993,0.6885,0.4167,0.2083
0.3181,0.4985,0.8374,1.0000,0.9357,-0.0368,-0.9993,0.6895,0.4167,0.2083
0.3219,0.5503,0.8369,1.0000,0.9348,-0.0370,-0.9993,0.6905,0.4167,0.2083
0.3228,0.6194,0.8363,1.0000,0.9340,-0.0372,-0.9993,0.6915,0.4167,0.2083
0.3266,0.7120,0.8358,0.3310,0.9332,-0.0373,-0.9993,0.6925,0.4167,0.2083
0.3447,0.8200,0.8354,0.3343,0.9326,-0.0374,-0.9993,0.6935,0.4167,0.2083
0.3678,0.8198,0.8352,0.3372,0.9322,-0.0374,-0.9993,0.6945,0.4167,0.2083
0.3970,0.8198,0.8351,0.3419,0.9321,-0.0374,-0.9993,0.6956,0.4167,0.2083
0.4311,0.8199,0.8353,0.3480,0.9322,-0.0373,-0.9993,0.6966,0.4167,0.2083
0.4709,0.8202,0.8356,0.3530,0.9327,-0.0372,-0.9993,0.6976,0.4167,0.2083
0.5176,0.8205,0.8361,0.3603,0.9333,-0.0370,-0.9993,0.6986,0.4167,0.2083
0.5728,0.8210,0.8366,0.3648,0.9342,-0.0368,-0.9993,0.6996,0.4167,0.2083
0.6406,0.8215,0.8372,0.3736,0.9350,-0.0365,-0.9993,0.7006,0.4167,0.2083
0.7255,0.8219,0.8378,0.3920,0.9358,-0.0361,-0.9993,0.7016,0.4167,0.2083
0.8292,0.8223,0.8382,0.4236,0.9365,-0.0357,-0.9994,0.7025,0.4167,0.2083
0.8294,0.8226,0.8386,0.4602,0.9371,-0.0353,-0.9994,0.7035,0.4167,0.2083
0.8295,0.8227,0.8388,0.5030,0.9373,-0.0348,-0.9994,0.7044,0.4167,0.2083
0.8296,0.8228,0.8388,0.5534,0.9374,-0.0343,-0.9994,0.7054,0.4167,0.2083
0.8295,0.8227,0.8387,0.6133,0.9372,-0.0337,-0.9994,0.7063,0.4167,0.2083
0.8293,0.8224,0.8384,0.6856,0.9367,-0.0331,-0.9995,0.7072,0.4167,0.2083
0.8286,0.8221,0.8380,0.7741,0.9361,-0.0324,-0.9995,0.7081,0.4167,0.2083
0.8215,0.8217,0.8374,0.8676,0.9353,-0.0317,-0.9995,0.7089,0.4167,0.2083
0.8189,0.8212,0.8369,0.8674,0.9345,-0.0309,-0.9995,0.7098,0.4167,0.2083
0.8192,0.8208,0.8363,0.8673,0.9337,-0.0301,-0.9995,0.7106,0.4167,0.2083
0.8190,0.8204,0.8359,0.8671,0.9330,-0.0292,-0.9996,0.7114,0.4167,0.2083
0.8181,0.8201,0.8355,0.8670,0.9325,-0.0284,-0.9996,0.7122,0.4167,0.2083
0.8253,0.8200,0.8353,0.8669,0.9322,-0.0274,-0.9996,0.7130,0.4167,0.2083
0.8272,0.8199,0.8352,0.8668,0.9321,-0.0265,-0.9996,0.7137,0.5946,0.6630
0.8234,0.8252,0.8413,0.8705,0.9401,-0.0247,-0.9997,0.7150,0.6781,0.5301
0.8232,0.8256,0.8428,0.8682,0.9440,-0.7901,0.6130,0.7164,0.7076,0.4039
0.8232,0.8256,0.8428,0.8682,0.9440,-0.0228,-0.9997,0.7164,0.7076,0.4039
0.8284,0.8254,0.8438,0.8656,0.9470,-0.0210,-0.9998,0.7176,0.7287,0.3139
0.8318,0.8268,0.8463,0.8648,0.9517,-0.0191,-0.9998,0.7187,0.3000,-0.3000
0.8287,0.8234,0.8421,0.8629,0.9458,-0.9886,0.1504,0.7190,0.3000,-0.3000
0.8287,0.8234,0.8421,0.8629,0.9458,-0.0185,-0.9998,0.7190,0.3000,-0.3000
0.8307,0.8248,0.8423,0.8665,0.9439,-0.0185,-0.9998,0.7190,0.3000,-0.3000
0.8331,0.8266,0.8434,0.8886,0.9436,-0.0185,-0.9998,0.7190,0.3000,-0.3000
0.8352,0.8284,0.8445,0.9121,0.9436,-0.9512,0.3086,0.7190,0.7295,0.3105
0.8352,0.8284,0.8445,0.9121,0.9436,-0.0185,-0.9998,0.7190,0.7295,0.3105
0.9282,0.9218,0.9406,1.0000,1.0000,-0.0165,-0.9999,0.7194,0.3000,-0.3000
0.7787,0.7733,0.7907,0.8486,0.8892,-0.0165,-0.9999,0.7194,0.3000,-0.3000
0.8395,0.8335,0.8510,0.9145,0.9530,-0.9533,0.3022,0.7198,0.7299,0.3086
0.8395,0.8335,0.8510,0.9145,0.9530,-0.0166,-0.9999,0.7198,0.7299,0.3086
1.0000,1.0000,1.0000,1.0000,1.0000,-0.0144,-0.9999,0.7198,0.3000,-0.3000
0.9261,0.9209,0.9420,1.0000,1.0000,-0.0144,-0.9999,0.7198,0.7299,0.3086
0.9506,0.9465,1.0000,1.0000,1.0000,-0.9569,0.2903,0.7195,0.7307,0.3053
0.9506,0.9465,1.0000,1.0000,1.0000,-0.0122,-0.9999,0.7195,0.7307,0.3053
0.8948,0.8918,0.9173,0.9617,1.0000,-0.0099,-1.0000,0.7191,0.7299,0.3085
0.7686,0.7664,0.7910,0.8269,0.9025,-0.0077,-1.0000,0.7186,0.7283,0.3155
0.8276,0.8260,0.8550,0.8849,1.0000,-0.9390,0.3440,0.7182,0.7271,0.3206
0.8276,0.8260,0.8550,0.8849,1.0000,-0.0056,-1.0000,0.7182,0.7271,0.3206
0.8399,0.8388,0.8700,0.8954,1.0000,-0.0035,-1.0000,0.7175,0.7241,0.3334
0.8459,0.8450,0.8775,0.9004,1.0000,-0.0015,-1.0000,0.7167,0.7208,0.3473
